"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"    Estimate","16,794","435","17,184","401"
"Atlantic County, New Jersey","","","",""
"    Estimate","80,047","11,229","87,833","12,104"
"Bergen County, New Jersey","","","",""
"    Estimate","222,890","84,388","237,133","97,086"
"Burlington County, New Jersey","","","",""
"    Estimate","151,587","13,811","157,989","15,710"
"Camden County, New Jersey","","","",""
"    Estimate","159,051","15,816","178,833","16,729"
"Cape May County, New Jersey","","","",""
"    Estimate","35,325","813","37,293","1,096"
"Cumberland County, New Jersey","","","",""
"    Estimate","50,740","2,571","49,248","2,878"
"Essex County, New Jersey","","","",""
"    Estimate","188,974","54,445","213,799","61,800"
"Gloucester County, New Jersey","","","",""
"    Estimate","102,082","4,285","110,972","5,408"
"Hudson County, New Jersey","","","",""
"    Estimate","129,036","64,728","129,801","76,074"
"Hunterdon County, New Jersey","","","",""
"    Estimate","44,033","3,453","44,815","3,916"
"Mercer County, New Jersey","","","",""
"    Estimate","100,541","19,296","110,268","20,651"
"Middlesex County, New Jersey","","","",""
"    Estimate","190,945","74,375","200,786","79,181"
"Monmouth County, New Jersey","","","",""
"    Estimate","196,284","25,364","212,194","27,940"
"Morris County, New Jersey","","","",""
"    Estimate","144,481","26,676","153,179","30,487"
"Ocean County, New Jersey","","","",""
"    Estimate","195,647","13,526","216,757","16,327"
"Passaic County, New Jersey","","","",""
"    Estimate","110,391","41,789","120,876","45,349"
"Salem County, New Jersey","","","",""
"    Estimate","22,514","703","24,615","599"
"Somerset County, New Jersey","","","",""
"    Estimate","86,832","22,983","90,682","27,965"
"Sussex County, New Jersey","","","",""
"    Estimate","50,872","3,847","51,639","3,934"
"Union County, New Jersey","","","",""
"    Estimate","126,138","42,225","139,714","46,309"
"Warren County, New Jersey","","","",""
"    Estimate","36,777","2,825","38,514","3,562"
"Bernalillo County, New Mexico","","","",""
"    Estimate","226,737","13,549","240,232","17,732"
"Catron County, New Mexico","","","",""
"    Estimate","1,519","43","1,430","12"
"Chaves County, New Mexico","","","",""
"    Estimate","19,594","1,601","20,517","2,147"
"Cibola County, New Mexico","","","",""
"    Estimate","10,079","75","9,653","114"
"Colfax County, New Mexico","","","",""
"    Estimate","4,631","166","4,818","96"
"Curry County, New Mexico","","","",""
"    Estimate","16,705","755","15,105","819"
"De Baca County, New Mexico","","","",""
"    Estimate","569","6","558","9"
"Doña Ana County, New Mexico","","","",""
"    Estimate","63,657","6,502","66,105","8,944"
"Eddy County, New Mexico","","","",""
"    Estimate","19,646","518","19,508","650"
"Grant County, New Mexico","","","",""
"    Estimate","10,204","113","10,896","296"
"Guadalupe County, New Mexico","","","",""
"    Estimate","2,161","80","1,283","11"
"Harding County, New Mexico","","","",""
"    Estimate","198","7","141","1"
"Hidalgo County, New Mexico","","","",""
"    Estimate","1,528","60","1,497","83"
"Lea County, New Mexico","","","",""
"    Estimate","19,525","1,680","18,452","1,641"
"Lincoln County, New Mexico","","","",""
"    Estimate","7,266","284","7,569","278"
"Los Alamos County, New Mexico","","","",""
"    Estimate","6,569","418","6,510","566"
"Luna County, New Mexico","","","",""
"    Estimate","7,145","682","6,862","698"
"McKinley County, New Mexico","","","",""
"    Estimate","23,360","449","26,351","284"
"Mora County, New Mexico","","","",""
"    Estimate","1,757","29","2,080","22"
"Otero County, New Mexico","","","",""
"    Estimate","23,415","1,031","21,689","1,554"
"Quay County, New Mexico","","","",""
"    Estimate","2,950","70","3,223","54"
"Rio Arriba County, New Mexico","","","",""
"    Estimate","14,110","176","14,141","618"
"Roosevelt County, New Mexico","","","",""
"    Estimate","5,941","233","6,251","282"
"Sandoval County, New Mexico","","","",""
"    Estimate","50,700","1,890","53,527","2,513"
"San Juan County, New Mexico","","","",""
"    Estimate","43,729","527","45,430","679"
"San Miguel County, New Mexico","","","",""
"    Estimate","10,734","224","10,781","176"
"Santa Fe County, New Mexico","","","",""
"    Estimate","50,816","2,942","55,657","3,284"
"Sierra County, New Mexico","","","",""
"    Estimate","4,425","71","4,413","94"
"Socorro County, New Mexico","","","",""
"    Estimate","6,113","150","5,828","183"
"Taos County, New Mexico","","","",""
"    Estimate","12,341","390","13,128","399"
"Torrance County, New Mexico","","","",""
"    Estimate","6,078","154","5,468","171"
"Union County, New Mexico","","","",""
"    Estimate","1,832","29","1,319","13"
"Valencia County, New Mexico","","","",""
"    Estimate","26,819","705","26,980","1,119"
"Albany County, New York","","","",""
"    Estimate","104,290","8,540","112,618","10,365"
"Allegany County, New York","","","",""
"    Estimate","18,189","223","17,999","211"
"Bronx County, New York","","","",""
"    Estimate","280,124","105,228","329,713","141,634"
"Broome County, New York","","","",""
"    Estimate","69,009","3,409","73,000","3,607"
"Cattaraugus County, New York","","","",""
"    Estimate","28,829","387","29,564","462"
"Cayuga County, New York","","","",""
"    Estimate","30,939","266","29,480","411"
"Chautauqua County, New York","","","",""
"    Estimate","48,306","730","50,285","867"
"Chemung County, New York","","","",""
"    Estimate","31,347","575","32,412","581"
"Chenango County, New York","","","",""
"    Estimate","18,429","146","18,485","210"
"Clinton County, New York","","","",""
"    Estimate","32,243","707","30,137","912"
"Columbia County, New York","","","",""
"    Estimate","22,451","1,002","23,426","1,046"
"Cortland County, New York","","","",""
"    Estimate","17,999","439","19,452","273"
"Delaware County, New York","","","",""
"    Estimate","17,813","549","17,545","579"
"Dutchess County, New York","","","",""
"    Estimate","101,732","8,736","103,755","10,518"
"Erie County, New York","","","",""
"    Estimate","321,108","16,510","352,163","18,027"
"Essex County, New York","","","",""
"    Estimate","15,540","354","14,258","404"
"Franklin County, New York","","","",""
"    Estimate","21,878","226","17,291","553"
"Fulton County, New York","","","",""
"    Estimate","20,675","403","21,075","321"
"Genesee County, New York","","","",""
"    Estimate","22,002","417","22,483","305"
"Greene County, New York","","","",""
"    Estimate","19,320","839","17,497","1,122"
"Hamilton County, New York","","","",""
"    Estimate","1,931","40","1,846","19"
"Herkimer County, New York","","","",""
"    Estimate","23,364","322","24,192","641"
"Jefferson County, New York","","","",""
"    Estimate","42,884","1,275","37,231","1,420"
"Kings County, New York","","","",""
"    Estimate","520,122","237,769","590,308","313,919"
"Lewis County, New York","","","",""
"    Estimate","10,034","57","10,041","46"
"Livingston County, New York","","","",""
"    Estimate","24,960","358","25,036","419"
"Madison County, New York","","","",""
"    Estimate","27,313","356","28,272","598"
"Monroe County, New York","","","",""
"    Estimate","252,093","16,905","278,622","19,173"
"Montgomery County, New York","","","",""
"    Estimate","17,642","460","18,786","557"
"Nassau County, New York","","","",""
"    Estimate","372,908","90,585","398,747","108,732"
"New York County, New York","","","",""
"    Estimate","448,812","101,095","501,257","134,983"
"Niagara County, New York","","","",""
"    Estimate","77,729","2,022","82,615","2,762"
"Oneida County, New York","","","",""
"    Estimate","81,394","4,761","82,754","5,333"
"Onondaga County, New York","","","",""
"    Estimate","157,269","8,553","173,978","10,437"
"Ontario County, New York","","","",""
"    Estimate","40,724","782","43,353","1,165"
"Orange County, New York","","","",""
"    Estimate","120,798","11,726","121,662","13,241"
"Orleans County, New York","","","",""
"    Estimate","15,620","261","16,002","312"
"Oswego County, New York","","","",""
"    Estimate","45,187","485","45,544","714"
"Otsego County, New York","","","",""
"    Estimate","23,060","556","24,884","812"
"Putnam County, New York","","","",""
"    Estimate","32,734","3,905","33,178","4,271"
"Queens County, New York","","","",""
"    Estimate","385,410","277,848","404,187","332,354"
"Rensselaer County, New York","","","",""
"    Estimate","58,587","1,776","61,534","2,093"
"Richmond County, New York","","","",""
"    Estimate","124,756","34,963","137,462","40,130"
"Rockland County, New York","","","",""
"    Estimate","81,219","18,600","87,001","21,117"
"St. Lawrence County, New York","","","",""
"    Estimate","42,217","822","40,537","1,246"
"Saratoga County, New York","","","",""
"    Estimate","83,664","3,545","87,846","3,625"
"Schenectady County, New York","","","",""
"    Estimate","51,268","4,440","55,935","5,051"
"Schoharie County, New York","","","",""
"    Estimate","12,233","348","12,447","356"
"Schuyler County, New York","","","",""
"    Estimate","7,056","115","7,082","76"
"Seneca County, New York","","","",""
"    Estimate","13,902","238","12,747","217"
"Steuben County, New York","","","",""
"    Estimate","35,598","713","36,514","791"
"Suffolk County, New York","","","",""
"    Estimate","461,274","63,569","491,185","66,930"
"Sullivan County, New York","","","",""
"    Estimate","27,006","1,734","25,756","1,823"
"Tioga County, New York","","","",""
"    Estimate","18,547","208","18,911","390"
"Tompkins County, New York","","","",""
"    Estimate","36,134","2,517","38,663","2,789"
"Ulster County, New York","","","",""
"    Estimate","66,071","3,575","67,458","4,452"
"Warren County, New York","","","",""
"    Estimate","24,437","532","25,816","908"
"Washington County, New York","","","",""
"    Estimate","25,057","300","23,332","490"
"Wayne County, New York","","","",""
"    Estimate","33,767","790","34,644","970"
"Westchester County, New York","","","",""
"    Estimate","247,898","62,934","274,850","74,598"
"Wyoming County, New York","","","",""
"    Estimate","17,186","137","14,479","104"
"Yates County, New York","","","",""
"    Estimate","9,005","138","9,944","99"
"Alamance County, North Carolina","","","",""
"    Estimate","53,410","1,939","62,985","2,332"
"Alexander County, North Carolina","","","",""
"    Estimate","14,642","318","13,934","146"
"Alleghany County, North Carolina","","","",""
"    Estimate","4,157","118","4,508","99"
"Anson County, North Carolina","","","",""
"    Estimate","9,547","211","9,364","64"
"Ashe County, North Carolina","","","",""
"    Estimate","10,302","159","11,103","134"
"Avery County, North Carolina","","","",""
"    Estimate","8,014","107","6,454","41"
"Beaufort County, North Carolina","","","",""
"    Estimate","16,953","171","19,214","255"
"Bertie County, North Carolina","","","",""
"    Estimate","7,870","36","7,812","21"
"Bladen County, North Carolina","","","",""
"    Estimate","11,706","193","13,480","73"
"Brunswick County, North Carolina","","","",""
"    Estimate","52,708","1,119","59,027","1,457"
"Buncombe County, North Carolina","","","",""
"    Estimate","92,729","2,491","104,182","3,906"
"Burke County, North Carolina","","","",""
"    Estimate","34,048","1,101","34,949","960"
"Cabarrus County, North Carolina","","","",""
"    Estimate","66,910","3,629","73,972","4,236"
"Caldwell County, North Carolina","","","",""
"    Estimate","30,961","308","32,284","349"
"Camden County, North Carolina","","","",""
"    Estimate","4,017","67","3,988","76"
"Carteret County, North Carolina","","","",""
"    Estimate","26,728","458","28,690","461"
"Caswell County, North Carolina","","","",""
"    Estimate","8,993","204","8,884","113"
"Catawba County, North Carolina","","","",""
"    Estimate","54,778","2,052","58,518","2,096"
"Chatham County, North Carolina","","","",""
"    Estimate","24,272","1,237","27,568","1,225"
"Cherokee County, North Carolina","","","",""
"    Estimate","11,098","156","11,923","224"
"Chowan County, North Carolina","","","",""
"    Estimate","5,048","71","5,809","88"
"Clay County, North Carolina","","","",""
"    Estimate","4,179","78","4,678","119"
"Cleveland County, North Carolina","","","",""
"    Estimate","35,089","526","39,020","533"
"Columbus County, North Carolina","","","",""
"    Estimate","20,990","202","21,521","186"
"Craven County, North Carolina","","","",""
"    Estimate","38,424","935","37,417","1,297"
"Cumberland County, North Carolina","","","",""
"    Estimate","115,870","4,871","115,880","7,171"
"Currituck County, North Carolina","","","",""
"    Estimate","10,134","104","10,437","215"
"Dare County, North Carolina","","","",""
"    Estimate","13,937","307","14,375","205"
"Davidson County, North Carolina","","","",""
"    Estimate","58,849","1,153","63,349","1,446"
"Davie County, North Carolina","","","",""
"    Estimate","15,247","225","16,374","402"
"Duplin County, North Carolina","","","",""
"    Estimate","17,881","587","20,520","545"
"Durham County, North Carolina","","","",""
"    Estimate","96,766","6,930","113,529","8,180"
"Edgecombe County, North Carolina","","","",""
"    Estimate","17,424","214","21,565","253"
"Forsyth County, North Carolina","","","",""
"    Estimate","120,570","5,480","140,724","6,406"
"Franklin County, North Carolina","","","",""
"    Estimate","23,999","731","25,637","426"
"Gaston County, North Carolina","","","",""
"    Estimate","76,183","2,316","84,896","2,637"
"Gates County, North Carolina","","","",""
"    Estimate","4,420","20","4,661","20"
"Graham County, North Carolina","","","",""
"    Estimate","3,115","2","3,491","0"
"Granville County, North Carolina","","","",""
"    Estimate","22,679","473","22,200","747"
"Greene County, North Carolina","","","",""
"    Estimate","8,304","121","6,915","122"
"Guilford County, North Carolina","","","",""
"    Estimate","166,426","11,851","196,609","12,179"
"Halifax County, North Carolina","","","",""
"    Estimate","18,503","141","20,489","216"
"Harnett County, North Carolina","","","",""
"    Estimate","45,117","1,237","46,786","1,877"
"Haywood County, North Carolina","","","",""
"    Estimate","23,422","377","25,822","321"
"Henderson County, North Carolina","","","",""
"    Estimate","40,688","1,730","45,855","1,760"
"Hertford County, North Carolina","","","",""
"    Estimate","8,980","124","9,478","159"
"Hoke County, North Carolina","","","",""
"    Estimate","17,781","567","18,649","620"
"Hyde County, North Carolina","","","",""
"    Estimate","1,982","51","1,738","23"
"Iredell County, North Carolina","","","",""
"    Estimate","61,770","1,810","65,134","2,189"
"Jackson County, North Carolina","","","",""
"    Estimate","16,577","71","18,240","177"
"Johnston County, North Carolina","","","",""
"    Estimate","66,162","2,158","71,264","1,821"
"Jones County, North Carolina","","","",""
"    Estimate","3,542","47","3,937","50"
"Lee County, North Carolina","","","",""
"    Estimate","19,047","903","21,779","1,018"
"Lenoir County, North Carolina","","","",""
"    Estimate","19,070","530","22,258","389"
"Lincoln County, North Carolina","","","",""
"    Estimate","30,640","964","32,115","982"
"McDowell County, North Carolina","","","",""
"    Estimate","17,172","153","17,457","302"
"Macon County, North Carolina","","","",""
"    Estimate","12,810","208","14,511","362"
"Madison County, North Carolina","","","",""
"    Estimate","8,481","12","8,881","134"
"Martin County, North Carolina","","","",""
"    Estimate","8,001","68","9,433","69"
"Mecklenburg County, North Carolina","","","",""
"    Estimate","316,621","29,402","362,868","33,314"
"Mitchell County, North Carolina","","","",""
"    Estimate","5,752","53","5,906","84"
"Montgomery County, North Carolina","","","",""
"    Estimate","9,248","299","9,808","251"
"Moore County, North Carolina","","","",""
"    Estimate","34,784","849","38,628","1,495"
"Nash County, North Carolina","","","",""
"    Estimate","32,724","469","36,878","961"
"New Hanover County, North Carolina","","","",""
"    Estimate","83,975","2,331","94,601","3,012"
"Northampton County, North Carolina","","","",""
"    Estimate","7,590","67","8,332","44"
"Onslow County, North Carolina","","","",""
"    Estimate","82,176","2,528","60,905","2,414"
"Orange County, North Carolina","","","",""
"    Estimate","46,433","4,131","54,388","4,325"
"Pamlico County, North Carolina","","","",""
"    Estimate","5,294","36","5,145","84"
"Pasquotank County, North Carolina","","","",""
"    Estimate","14,386","225","15,475","424"
"Pender County, North Carolina","","","",""
"    Estimate","22,976","175","23,187","432"
"Perquimans County, North Carolina","","","",""
"    Estimate","5,067","145","5,579","72"
"Person County, North Carolina","","","",""
"    Estimate","14,381","139","15,770","247"
"Pitt County, North Carolina","","","",""
"    Estimate","60,537","1,760","72,656","1,438"
"Polk County, North Carolina","","","",""
"    Estimate","7,822","127","8,644","296"
"Randolph County, North Carolina","","","",""
"    Estimate","49,801","1,107","53,214","796"
"Richmond County, North Carolina","","","",""
"    Estimate","15,834","340","17,259","433"
"Robeson County, North Carolina","","","",""
"    Estimate","43,687","806","49,803","685"
"Rockingham County, North Carolina","","","",""
"    Estimate","32,708","574","36,757","652"
"Rowan County, North Carolina","","","",""
"    Estimate","50,204","737","53,040","802"
"Rutherford County, North Carolina","","","",""
"    Estimate","24,479","367","26,877","486"
"Sampson County, North Carolina","","","",""
"    Estimate","19,899","902","22,304","320"
"Scotland County, North Carolina","","","",""
"    Estimate","12,740","162","13,421","144"
"Stanly County, North Carolina","","","",""
"    Estimate","22,938","462","23,690","416"
"Stokes County, North Carolina","","","",""
"    Estimate","17,407","225","18,599","217"
"Surry County, North Carolina","","","",""
"    Estimate","25,286","667","27,535","628"
"Swain County, North Carolina","","","",""
"    Estimate","5,068","30","5,586","122"
"Transylvania County, North Carolina","","","",""
"    Estimate","13,023","220","14,713","203"
"Tyrrell County, North Carolina","","","",""
"    Estimate","1,920","0","1,387","21"
"Union County, North Carolina","","","",""
"    Estimate","73,403","5,012","78,101","5,486"
"Vance County, North Carolina","","","",""
"    Estimate","14,448","250","17,690","245"
"Wake County, North Carolina","","","",""
"    Estimate","332,527","29,917","364,440","33,259"
"Warren County, North Carolina","","","",""
"    Estimate","7,730","76","8,034","73"
"Washington County, North Carolina","","","",""
"    Estimate","4,148","19","5,040","41"
"Watauga County, North Carolina","","","",""
"    Estimate","22,876","513","23,669","231"
"Wayne County, North Carolina","","","",""
"    Estimate","41,800","822","44,626","1,209"
"Wilkes County, North Carolina","","","",""
"    Estimate","25,208","473","26,849","353"
"Wilson County, North Carolina","","","",""
"    Estimate","26,647","762","31,539","912"
"Yadkin County, North Carolina","","","",""
"    Estimate","13,412","200","14,441","139"
"Yancey County, North Carolina","","","",""
"    Estimate","6,801","74","7,334","69"
"Adams County, North Dakota","","","",""
"    Estimate","872","0","853","0"
"Barnes County, North Dakota","","","",""
"    Estimate","4,105","17","4,192","67"
"Benson County, North Dakota","","","",""
"    Estimate","2,265","24","2,211","8"
"Billings County, North Dakota","","","",""
"    Estimate","381","0","294","0"
"Bottineau County, North Dakota","","","",""
"    Estimate","2,511","50","2,361","35"
"Bowman County, North Dakota","","","",""
"    Estimate","1,145","5","1,159","5"
"Burke County, North Dakota","","","",""
"    Estimate","786","10","760","24"
"Burleigh County, North Dakota","","","",""
"    Estimate","35,312","350","35,735","610"
"Cass County, North Dakota","","","",""
"    Estimate","64,490","2,314","63,107","2,037"
"Cavalier County, North Dakota","","","",""
"    Estimate","1,511","4","1,440","22"
"Dickey County, North Dakota","","","",""
"    Estimate","1,782","5","1,834","8"
"Divide County, North Dakota","","","",""
"    Estimate","943","0","842","0"
"Dunn County, North Dakota","","","",""
"    Estimate","1,786","10","1,420","21"
"Eddy County, North Dakota","","","",""
"    Estimate","876","0","881","0"
"Emmons County, North Dakota","","","",""
"    Estimate","1,305","6","1,258","33"
"Foster County, North Dakota","","","",""
"    Estimate","1,269","1","1,242","0"
"Golden Valley County, North Dakota","","","",""
"    Estimate","705","10","717","2"
"Grand Forks County, North Dakota","","","",""
"    Estimate","26,656","704","25,256","639"
"Grant County, North Dakota","","","",""
"    Estimate","916","5","860","4"
"Griggs County, North Dakota","","","",""
"    Estimate","901","5","892","47"
"Hettinger County, North Dakota","","","",""
"    Estimate","926","0","1,083","11"
"Kidder County, North Dakota","","","",""
"    Estimate","1,014","25","858","0"
"LaMoure County, North Dakota","","","",""
"    Estimate","1,608","4","1,617","11"
"Logan County, North Dakota","","","",""
"    Estimate","743","1","648","12"
"McHenry County, North Dakota","","","",""
"    Estimate","2,239","14","2,137","26"
"McIntosh County, North Dakota","","","",""
"    Estimate","974","44","1,025","23"
"McKenzie County, North Dakota","","","",""
"    Estimate","4,754","320","4,226","60"
"McLean County, North Dakota","","","",""
"    Estimate","3,784","13","3,544","27"
"Mercer County, North Dakota","","","",""
"    Estimate","3,312","2","3,058","47"
"Morton County, North Dakota","","","",""
"    Estimate","11,967","143","11,580","170"
"Mountrail County, North Dakota","","","",""
"    Estimate","4,012","37","3,240","38"
"Nelson County, North Dakota","","","",""
"    Estimate","1,140","2","1,093","18"
"Oliver County, North Dakota","","","",""
"    Estimate","763","0","696","7"
"Pembina County, North Dakota","","","",""
"    Estimate","2,681","74","2,446","109"
"Pierce County, North Dakota","","","",""
"    Estimate","1,508","11","1,590","30"
"Ramsey County, North Dakota","","","",""
"    Estimate","4,350","25","4,135","180"
"Ransom County, North Dakota","","","",""
"    Estimate","1,975","36","1,910","65"
"Renville County, North Dakota","","","",""
"    Estimate","890","6","891","11"
"Richland County, North Dakota","","","",""
"    Estimate","6,498","48","6,049","51"
"Rolette County, North Dakota","","","",""
"    Estimate","4,603","5","4,880","14"
"Sargent County, North Dakota","","","",""
"    Estimate","1,600","75","1,387","37"
"Sheridan County, North Dakota","","","",""
"    Estimate","552","0","528","2"
"Sioux County, North Dakota","","","",""
"    Estimate","1,432","0","1,389","3"
"Slope County, North Dakota","","","",""
"    Estimate","309","0","302","0"
"Stark County, North Dakota","","","",""
"    Estimate","11,158","352","10,650","203"
"Steele County, North Dakota","","","",""
"    Estimate","734","7","647","20"
"Stutsman County, North Dakota","","","",""
"    Estimate","8,268","76","8,021","59"
"Towner County, North Dakota","","","",""
"    Estimate","893","0","751","7"
"Traill County, North Dakota","","","",""
"    Estimate","3,071","19","3,012","19"
"Walsh County, North Dakota","","","",""
"    Estimate","3,894","67","3,952","50"
"Ward County, North Dakota","","","",""
"    Estimate","26,318","668","23,511","429"
"Wells County, North Dakota","","","",""
"    Estimate","1,474","0","1,615","5"
"Williams County, North Dakota","","","",""
"    Estimate","12,783","611","10,601","301"
"Adams County, Ohio","","","",""
"    Estimate","10,309","28","10,589","47"
"Allen County, Ohio","","","",""
"    Estimate","39,021","244","38,441","549"
"Ashland County, Ohio","","","",""
"    Estimate","19,744","66","20,986","274"
"Ashtabula County, Ohio","","","",""
"    Estimate","37,186","511","37,286","437"
"Athens County, Ohio","","","",""
"    Estimate","26,306","300","27,601","379"
"Auglaize County, Ohio","","","",""
"    Estimate","16,895","77","17,423","103"
"Belmont County, Ohio","","","",""
"    Estimate","27,499","385","26,467","182"
"Brown County, Ohio","","","",""
"    Estimate","16,470","11","16,946","68"
"Butler County, Ohio","","","",""
"    Estimate","129,890","5,615","139,214","5,842"
"Carroll County, Ohio","","","",""
"    Estimate","10,763","12","10,728","91"
"Champaign County, Ohio","","","",""
"    Estimate","14,666","108","15,139","160"
"Clark County, Ohio","","","",""
"    Estimate","48,442","520","53,423","690"
"Clermont County, Ohio","","","",""
"    Estimate","75,297","896","79,229","1,105"
"Clinton County, Ohio","","","",""
"    Estimate","15,383","130","16,251","132"
"Columbiana County, Ohio","","","",""
"    Estimate","40,640","334","39,948","352"
"Coshocton County, Ohio","","","",""
"    Estimate","13,399","100","14,337","64"
"Crawford County, Ohio","","","",""
"    Estimate","15,498","60","16,562","90"
"Cuyahoga County, Ohio","","","",""
"    Estimate","419,113","25,790","476,903","30,606"
"Darke County, Ohio","","","",""
"    Estimate","18,952","121","19,782","42"
"Defiance County, Ohio","","","",""
"    Estimate","13,981","159","14,580","209"
"Delaware County, Ohio","","","",""
"    Estimate","67,007","3,550","69,573","3,737"
"Erie County, Ohio","","","",""
"    Estimate","28,089","279","29,833","462"
"Fairfield County, Ohio","","","",""
"    Estimate","55,943","1,443","57,448","1,720"
"Fayette County, Ohio","","","",""
"    Estimate","10,311","79","11,101","25"
"Franklin County, Ohio","","","",""
"    Estimate","415,928","32,557","454,564","32,851"
"Fulton County, Ohio","","","",""
"    Estimate","15,403","100","16,303","188"
"Gallia County, Ohio","","","",""
"    Estimate","11,133","16","11,670","143"
"Geauga County, Ohio","","","",""
"    Estimate","34,512","546","35,461","1,023"
"Greene County, Ohio","","","",""
"    Estimate","61,849","1,748","64,003","2,687"
"Guernsey County, Ohio","","","",""
"    Estimate","14,810","92","15,240","125"
"Hamilton County, Ohio","","","",""
"    Estimate","275,943","10,717","310,060","10,015"
"Hancock County, Ohio","","","",""
"    Estimate","27,568","379","28,843","488"
"Hardin County, Ohio","","","",""
"    Estimate","11,557","54","12,226","42"
"Harrison County, Ohio","","","",""
"    Estimate","5,760","13","6,090","37"
"Henry County, Ohio","","","",""
"    Estimate","10,024","52","10,337","174"
"Highland County, Ohio","","","",""
"    Estimate","15,695","84","16,691","177"
"Hocking County, Ohio","","","",""
"    Estimate","10,906","19","11,117","42"
"Holmes County, Ohio","","","",""
"    Estimate","14,854","53","15,187","121"
"Huron County, Ohio","","","",""
"    Estimate","21,354","59","22,129","216"
"Jackson County, Ohio","","","",""
"    Estimate","11,968","54","12,614","74"
"Jefferson County, Ohio","","","",""
"    Estimate","25,260","245","27,298","284"
"Knox County, Ohio","","","",""
"    Estimate","22,695","87","24,239","287"
"Lake County, Ohio","","","",""
"    Estimate","82,874","3,150","89,236","3,786"
"Lawrence County, Ohio","","","",""
"    Estimate","22,191","49","24,037","240"
"Licking County, Ohio","","","",""
"    Estimate","62,849","1,669","67,128","1,711"
"Logan County, Ohio","","","",""
"    Estimate","16,885","100","17,405","176"
"Lorain County, Ohio","","","",""
"    Estimate","112,986","2,668","119,220","2,922"
"Lucas County, Ohio","","","",""
"    Estimate","150,358","3,675","166,204","4,612"
"Madison County, Ohio","","","",""
"    Estimate","19,155","59","15,497","60"
"Mahoning County, Ohio","","","",""
"    Estimate","85,532","1,764","91,834","1,710"
"Marion County, Ohio","","","",""
"    Estimate","27,149","296","23,444","198"
"Medina County, Ohio","","","",""
"    Estimate","65,698","1,640","68,490","1,851"
"Meigs County, Ohio","","","",""
"    Estimate","8,711","3","9,070","5"
"Mercer County, Ohio","","","",""
"    Estimate","14,952","64","14,916","117"
"Miami County, Ohio","","","",""
"    Estimate","38,668","721","40,730","554"
"Monroe County, Ohio","","","",""
"    Estimate","5,454","24","5,436","50"
"Montgomery County, Ohio","","","",""
"    Estimate","184,503","5,252","205,784","7,207"
"Morgan County, Ohio","","","",""
"    Estimate","5,619","33","5,851","12"
"Morrow County, Ohio","","","",""
"    Estimate","13,355","88","13,423","226"
"Muskingum County, Ohio","","","",""
"    Estimate","31,525","259","34,322","137"
"Noble County, Ohio","","","",""
"    Estimate","7,028","21","4,619","0"
"Ottawa County, Ohio","","","",""
"    Estimate","16,125","205","16,450","150"
"Paulding County, Ohio","","","",""
"    Estimate","6,952","68","7,132","76"
"Perry County, Ohio","","","",""
"    Estimate","13,640","24","13,782","98"
"Pickaway County, Ohio","","","",""
"    Estimate","24,010","102","21,142","182"
"Pike County, Ohio","","","",""
"    Estimate","10,304","14","10,951","28"
"Portage County, Ohio","","","",""
"    Estimate","61,795","852","65,444","1,035"
"Preble County, Ohio","","","",""
"    Estimate","15,440","109","16,035","71"
"Putnam County, Ohio","","","",""
"    Estimate","12,210","227","12,557","62"
"Richland County, Ohio","","","",""
"    Estimate","47,233","337","45,708","746"
"Ross County, Ohio","","","",""
"    Estimate","31,376","132","28,454","133"
"Sandusky County, Ohio","","","",""
"    Estimate","21,766","247","22,797","242"
"Scioto County, Ohio","","","",""
"    Estimate","28,476","102","30,083","133"
"Seneca County, Ohio","","","",""
"    Estimate","20,869","235","21,222","235"
"Shelby County, Ohio","","","",""
"    Estimate","17,759","184","18,087","180"
"Stark County, Ohio","","","",""
"    Estimate","135,912","2,231","148,483","2,175"
"Summit County, Ohio","","","",""
"    Estimate","191,129","6,826","209,668","7,714"
"Trumbull County, Ohio","","","",""
"    Estimate","74,908","915","80,609","1,317"
"Tuscarawas County, Ohio","","","",""
"    Estimate","33,772","361","35,684","316"
"Union County, Ohio","","","",""
"    Estimate","19,362","668","21,842","764"
"Van Wert County, Ohio","","","",""
"    Estimate","10,468","28","10,991","21"
"Vinton County, Ohio","","","",""
"    Estimate","4,997","46","5,045","18"
"Warren County, Ohio","","","",""
"    Estimate","80,163","3,974","79,748","4,509"
"Washington County, Ohio","","","",""
"    Estimate","23,225","114","24,231","286"
"Wayne County, Ohio","","","",""
"    Estimate","41,935","382","43,666","541"
"Williams County, Ohio","","","",""
"    Estimate","13,816","56","14,089","139"
"Wood County, Ohio","","","",""
"    Estimate","48,551","833","51,740","956"
"Wyandot County, Ohio","","","",""
"    Estimate","8,138","53","8,618","84"
"Adair County, Oklahoma","","","",""
"    Estimate","7,809","72","7,986","114"
"Alfalfa County, Oklahoma","","","",""
"    Estimate","2,715","55","1,770","5"
"Atoka County, Oklahoma","","","",""
"    Estimate","5,542","23","5,033","45"
"Beaver County, Oklahoma","","","",""
"    Estimate","1,669","23","1,748","54"
"Beckham County, Oklahoma","","","",""
"    Estimate","8,703","220","6,940","109"
"Blaine County, Oklahoma","","","",""
